0,1,2,3,4,5,6
一溜まりも無い,ひとたまりもない,exp adj-i,adj-i,2,without difficulty without the least resistance helplessly,1728240
一点一画もおろそかにしない,いってんいっかくもおろそかにしない,exp,,1,always dot the i's and cross the t's don't neglect the slightest detail be punctilious,2668940
一生精進,いっしょうしょうじん,exp Buddh,,1,striving to adopt ascetic practices for one's whole life,2776370
一番多い,いちばんおおい,exp adj-i,adj-i,2,most numerous,1166030
一病息災,いちびょうそくさい,exp yoji,,3,one who experiences a chronic ailment takes better care of his health and lives longer,1728100
一癖も二癖も有る,ひとくせもふたくせもある,exp v5r-i,v5,1,to be hard to deal with to be sinister-looking to be idiosyncratic,2778860
一発かます,いっぱつかます,exp v5s sl,v5,3,to hit someone to blast someone,1165740
一皮剥く,ひとかわむく,exp v5k,v5,2,to take a veneer off something,2005950
一盗二婢三妾四妓五妻,いっとうにひさんしょうしぎごさい,exp,,1,"most thrilling relationships for a man (another man's wife, a maidservant, a mistress, a prostitute, and finally his own wife)",2671180
一目置く,いちもくおく,exp v5k,v5,4,to take off one's hat to a person to acknowledge another's superiority,1627710
一目見る,ひとめみる,exp v1,v1,3,to give a glance (at) to take one look at,2024530
一瞬にして,いっしゅんにして,exp adv,,2,in an instant instantly in a moment instantaneously in the twinkling of an eye,2810420
一矢を報いる,いっしをむくいる,exp v1,v1,4,to retaliate to return a blow,1858910
一石を投じる,いっせきをとうじる,exp v1 id,v1,2,to create a stir to make waves to raise a question about to cause a sensation,2655250
一石二鳥,いっせきにちょう,exp yoji,,607,killing two birds with one stone,1164160
一笑に付す,いっしょうにふす,exp v5s,v5,4,to laugh (someone) down,1163500
一笑に付する,いっしょうにふする,exp vs-s,vs,4,to laugh something off to shrug a matter off,2089230
一笑千金,いっしょうせんきん,exp yoji,,2,A smile of a beautiful woman is worth a thousand pieces of gold enchanting smile of a glamorous woman,2041580
一筆啓上,いっぴつけいじょう,exp male yoji,,3,Just a short note to tell you ... This will just be a short note,2041710
一筋縄でいかない,ひとすじなわでいかない,exp,,2,not straightforward not dealt with by ordinary means,2536980
一筋縄では行かない,ひとすじなわではいかない,exp,,4,not straightforward not dealt with by ordinary means,2111220
一籌を輸する,いっちゅうをゆする,exp vs-i,vs,3,to be inferior to to be outdone to compare unfavourably with,1167550
一粒万倍,いちりゅうまんばい,exp yoji,,2,"A single seed can eventually produce a great harvest Even the smallest beginning can generate a greatest profit Watch the pennies, and the pounds will look after themselves",2063490
一糸もまとわず,いっしもまとわず,exp,,2,stark-naked without a stitch of clothing on,1858890
一糸乱れず,いっしみだれず,exp,,2,in perfect order,1847090
一糸乱れぬ,いっしみだれぬ,exp adj-f,,1,perfectly ordered perfectly coordinated,2833274
一網打尽,いちもうだじん,exp n yoji,,5,(a) big haul roundup wholesale arrest catching the whole herd with one throw,1166920
一緒にする,いっしょにする,exp vs-i,vs,10,to unite to join to do together,1163430
一緒になる,いっしょになる,exp v5r,v5,4,to come together to join,2405220
一線を画する,いっせんをかくする,exp vs-s,vs,2,to draw a line between to clearly differentiate to distinguish between,2787330
一翼を担う,いちよくをになう,exp v5u,v5,2,to play a part to get involved to take a share to share the burden,2803970
一肌脱ぐ,ひとはだぬぐ,exp v5g,v5,3,to pitch in and help,1165720
一般向け,いっぱんむけ,exp,,2,for the general public,2087600
一般的なルールとして,いっぱんてきなルールとして,exp,,2,as a general rule,1165890
一芸に秀でる,いちげいにひいでる,exp v1,v1,3,to excel in one thing to be a master in an art,2107000
一見したところ,いっけんしたところ,exp adv,,3,at a glance at first sight,2266590
一見に値する,いっけんにあたいする,exp vs-s,vs,2,to be worth seeing,2106430
一言に尽きる,ひとことにつきる,exp v1,v1,1,to sum it up in one word ... is the word for it,2761600
一言も言わず,ひとこともいわず,exp,,2,without saying a word,1904110
一言二言,ひとことふたこと,exp,,4,a word or two,1162280
一言二言言う,ひとことふたこという,exp v5u,v5,2,to say a few words,2015850
一言多い,ひとことおおい,exp adj-i,adj-i,1,saying too much,2827265
一計を案じる,いっけいをあんじる,exp v1,v1,3,to devise a plan to work out a plan,2396010
一読の価値が有る,いちどくのかちがある,exp,,3,to be worth reading,1858610
一諾千金,いちだくせんきん,exp yoji,,2,"one's word is worth 1,000 pieces of gold a promise should be kept at all cost",2029990
一貫して,いっかんして,exp,,4,consistently,1161580
一身上の都合,いっしんじょうのつごう,exp,,2,personal reasons personal matters personal affairs,2207390
一軍を率いて,いちぐんをひきいて,exp,,2,at the head of an army,1858510
一途を辿る,いっとをたどる,exp v5r,v5,1,to continue (going along some trend),2832694
一通り揃う,ひととおりそろう,exp v5u,v5,2,"to have the (full, general) selection available to have (a lineup) from A to Z to have the full array of",2211760
一銭を笑う者は一銭に泣く,いっせんをわらうものはいっせんになく,exp proverb,,1,Take care of the penny,2416680
一難去ってまた一難,いちなんさってまたいちなん,exp,,2,(it's been) one thing after another,2403500
一頭地を抜く,いっとうちをぬく,exp v5k,v5,3,to cut a conspicuous figure to be by far the best,2005940
一頭立て,いっとうだて,exp,,4,one-horse (carriage),1165330
一風景,いっぷうけい,exp,,1,one scene,2420430
丁度いい,ちょうどいい,exp adj-ix uk,,2,"just right (time, size, length, etc.)",2827390
丁度よい,ちょうどよい,exp adj-i,adj-i,1,"just right (time, size, length, etc.)",2276090
七つの大罪,ななつのたいざい,exp n,,3,the Seven Deadly Sins,2621850
七十古希,しちじゅうこき,exp yoji,,1,Men seldom live to be seventy (Du Fu (c.712-c.770)) Few people live to be seventy,2046220
七度尋ねて人を疑え,ななたびたずねてひとをうたがえ,exp proverb,,2,search thoroughly for something lost before you suspect someone of stealing it be on sure ground before you accuse somebody,2803180
万が一,まんがいち,exp adv,,606,if by any chance just in case in the worst case in the unlikely event that 10000 to 1,1525770
万にひとつ,まんにひとつ,exp adj-no,,1,"one in a million (chance, etc.) one in ten thousand in the unlikely event that",2827474
万一に備える,まんいちにそなえる,exp v1,v1,2,to provide against contingencies,1525790
万一のため,まんいちのため,exp,,1,just in case,2119680
万事休す,ばんじきゅうす,exp,,1,There is nothing more that can be done,1601360
万人受け,ばんにんうけ,exp vs,vs,1,(being) universally acceptable suitable for all popular with many people,2751220
万全を期す,ばんぜんをきす,exp v5s,v5,2,to make absolutely sure to make doubly sure,2615880
万分の一,まんぶんのいち,exp n,,3,one ten-thousandth,1526430
万場一致で,まんじょういっちで,exp,,3,unanimously,1526160
万感胸に迫る,ばんかんむねにせまる,exp v5r,v5,1,to be filled with thousand emotions to be overwhelmed by a flood of emotions to be wrought by a thousand emotions,2419760
万止むを得ず,ばんやむをえず,exp,,1,there is no hope,1526050
万止むを得なければ,ばんやむをえなければ,exp,,2,if necessary when unavoidable,1526060
万物流転,ばんぶつるてん,exp yoji,,2,all things are in a state of flux everything is constantly changing,2032660
万病の元,まんびょうのもと,exp,,2,the source of all kinds of diseases,2211090
万緑叢中紅一点,ばんりょくそうちゅうこういってん,exp arch,,-99,one red flower standing out in a sea of green vegetation one item of quality standing out among many one woman among many men,2123440
万遺漏無きを期す,ばんいろうなきをきす,exp v5s,v5,2,to make absolutely sure that there are no omissions,2534180
万難を排して,ばんなんをはいして,exp,,2,at all costs at any cost surmounting all difficulties,1526300
丈に,だけに,exp uk,,1,.. being the case (precisely) because ... as might be expected (from ..),1007380
丈を詰める,たけをつめる,exp v1,v1,1,to shorten (a garment) to take in,2738620
三つどもえの争い,みつどもえのあらそい,exp n,,2,three-cornered battle,2077490
三つどもえの戦い,みつどもえのたたかい,exp n sumo,,1,playoff for the tournament win with three wrestlers participating,2021980
三つ子の魂百まで,みつごのたましいひゃくまで,exp,,2,the child is father to the man the soul of a child of three (is the same) at 100,2252990
三人寄れば文殊の知恵,さんにんよればもんじゅのちえ,exp,,4,two heads are better than one,1301010
三分の一,さんぶんのいち,exp n,,3,one third a third part,1949730
三分の二,さんぶんのに,exp n,,2,two thirds,2667840
三十六計逃げるに如かず,さんじゅうろっけいにげるにしかず,exp,,3,the smartest thing in a tight situation is to beat a retreat,2123430
三尺下がって師の影を踏まず,さんじゃくさがってしのかげをふまず,exp proverb,,2,a student must never forget to honor their teacher (honour),2144010
三尺去って師の影を踏まず,さんじゃくさってしのかげをふまず,exp proverb,,1,a student must never forget to honor their teacher (honour),2144020
三度のめしよりすき,さんどのめしよりすき,exp,,1,very fond of more fond of than eating so fond of that someone would rather not eat than go without more important than three meals a day,2122660
三度の食事,さんどのしょくじ,exp n,,2,daily meals three regular meals a day,2761580
三度の食事より好き,さんどのしょくじよりすき,exp,,1,very fond of more fond of than eating so fond of that someone would rather not eat than go without more important than three meals a day,2761510
三度目の正直,さんどめのしょうじき,exp,,2,third time lucky third time's the charm,2140160
三拍子そろう,さんびょうしそろう,exp v5u,v5,1,meeting all three important conditions being a triple threat being ideal,2270640
三方よし,さんぽうよし,exp,,2,"everybody doing well (e.g. purchaser, buyer and society) three-way satisfaction all three parties doing well",2830326
三日と上げず,みっかとあげず,exp,,2,almost every day constantly,2147710
三日にあげず,みっかにあげず,exp adv,,3,at very frequent intervals almost every other day constantly,2117110
三日三夜,みっかみよ,exp,,2,3 days and 3 nights,1301360
三日三晩,みっかみばん,exp,,3,3 days and 3 nights,1301350
三歩さがって師の影を踏まず,さんぽさがってしのかげをふまず,exp proverb,,1,a student must never forget to honor their teacher (honour),2144030
三舎を避ける,さんしゃをさける,exp v1 id,v1,2,to keep one's distance from someone (due to fear or because that person is superior),1879380
三遷の教え,さんせんのおしえ,exp,,2,the importance of creating an environment conducive to a child's learning,2620750
三顧の礼,さんこのれい,exp n,,2,"showing special confidence and courtesy (to someone, often to convince them to take a post, etc.)",1300320
三食まかない付き,さんしょくまかないつき,exp adj-no,,1,with three meals served,1621200
上がったり,あがったり,exp,,603,"doomed (business, trade, etc.) in a bad state poor",1352180
上げ膳据え膳,あげぜんすえぜん,exp,,2,taking care of everything no need to do anything,2024890
上では,うえでは,exp,,1,from the viewpoint of according to,2200100
上と下,うえとした,exp,,1,above and below,2459080
上には上がある,うえにはうえがある,exp proverb,,3,greatness is comparative there is always someone better than you,2418030
上の人,うえのひと,exp n,,1,person above upstairs neighbour (neighbor),2792300
上の地位,うえのちい,exp n,,2,higher position,1859870
上の子,うえのこ,exp n,,1,the older child,1859860
上を下への大騒ぎ,うえをしたへのおおさわぎ,exp,,2,to be in a state of confusion,2102190
上を向く,うえをむく,exp v5k,v5,1,to look upward,1859880
上を行く,うえをいく,exp v5k-s,v5,2,to be ahead of,2102180
上下になる,うえしたになる,exp v5r,v5,4,to be upside-down,2626440
上体を起こす,じょうたいをおこす,exp v5s,v5,2,to straighten up to sit upright,2786610
上前をはねる,うわまえをはねる,exp v1 col,v1,3,to take a commission to take a cut to take a piece of the action to take a kickback,2095060
上半身を起こす,じょうはんしんをおこす,exp v5s,v5,1,to sit up,2785260
上座に据える,かみざにすえる,exp v1,v1,2,to give (a guest) the seat of honor (honour),1866630
上手くいく,うまくいく,exp v5k-s uk,v5,603,to go smoothly to turn out well to do the trick to have peaceful relations,1310500
上手に扱う,じょうずにあつかう,exp v5u,v5,1,to handle skillfully,1886030
上手に選ぶ,じょうずにえらぶ,exp v5b,v5,1,to make a good choice,1886040
上手の手から水が漏れる,じょうずのてからみずがもれる,exp id,,2,Even Homer sometimes nods,2418040
上書き保存,うわがきほぞん,exp n comp,,1,saving changes (e.g. to a file),2830197
上記のことから,じょうきのことから,exp,,1,given the above,1352890
下さい,ください,exp uk hon,,610,please give me,1184270
下にもおかない,したにもおかない,exp,,1,giving a royal welcome extending every courtesy,2125680
下に厚く,したにあつく,exp,,1,more generously for the lower-paid,1880750
下の下,げのげ,exp,,4,the lowest (of its kind) the poorest,1625220
下の世話,しものせわ,exp n,,1,"care for patients with bedpans, urinary bottles, etc.",2219380
下の人,したのひと,exp n,,1,subordinate,2826530
下の句,しものく,exp n,,3,the last part of a poem or Bible verse,1184350
下の名前,したのなまえ,exp n,,2,first name given name,2127570
下の子,したのこ,exp n,,2,younger child,2038070
下の部屋,したのへや,exp n,,2,downstairs room,1880770
下の階,したのかい,exp n,,1,lower floor,1880760
下宿人を置く,げしゅくにんをおく,exp v5k,v5,2,to keep boarders,1874350
下手したら,へたしたら,exp,,1,if one is unlucky if one is careless,2748770
下手すると,へたすると,exp,,2,if one is unlucky if one is careless if things don't go well,2748760
下手な考え休むに似たり,へたなかんがえやすむににたり,exp proverb,,1,It's hard to tell a poor thinker from a sleeping one They to whom only bad ideas come might as well be asleep Poor thinking is futile Inadequate ideas are worse than none at all,2407990
下手な鉄砲も数打てば当たる,へたなてっぽうもかずうてばあたる,exp id,,1,even the unskilled can succeed by a fluke given enough tries even a poor marksman will hit the target with enough shots,2779680
下手な鉄砲も数撃ちゃ当たる,へたなてっぽうもかずうちゃあたる,exp id,,1,even the unskilled can succeed by a fluke given enough tries even a poor marksman will hit the target with enough shots,2779710
下手に出る,したてにでる,exp v1,v1,3,to behave modestly,2077470
下手の考え休むに似たり,へたのかんがえやすむににたり,exp proverb,,2,It's hard to tell a poor thinker from a sleeping one They to whom only bad ideas come might as well be asleep Poor thinking is futile Inadequate ideas are worse than none at all,2416750
下手の長談義,へたのながだんぎ,exp id,,1,Brevity is the soul of wit,2416760
下手をすると,へたをすると,exp,,2,if one is unlucky if one is careless if things don't go well,2749820
下敷きになる,したじきになる,exp v5r,v5,3,to be squashed by to be pinned under,2131940
下火になる,したびになる,exp v5r,v5,5,to be under control to burn down to decline to drop to wane,1184590
下痢が移った,げりがうつった,exp,,1,infected with diarrhea (diarrhoea),1874460
下種のあと知恵,げすのあとぢえ,exp proverb,,1,hindsight is 20-20 (even for a fool) an afterwit is everybody's wit,2826109
下駄と焼き味噌,げたとやきみそ,exp id,,1,things that look similar but are completely different geta and grilled miso,2703170
下駄を預ける,げたをあずける,exp v1 id,v1,4,to leave everything to (someone),1185790
不倶戴天の敵,ふぐたいてんのてき,exp n,,3,mortal enemy sworn enemy nemesis,2763480
不動の動者,ふどうのどうしゃ,exp n,,1,unmoved mover (in philosophy) prime mover,2828949
不動の金縛り,ふどうのかなしばり,exp n,,1,binding of Acala fast binding,2767150
不可能を可能にする,ふかのうをかのうにする,exp vs-i,vs,2,to make the impossible possible to accomplish the impossible,2716640
不問に付す,ふもんにふす,exp v5s,v5,3,to ignore to disregard to overlook to connive at,1495140
不問に付する,ふもんにふする,exp vs-s,vs,2,to ignore to disregard to overlook to connive at,2714930
不善を為す,ふぜんをなす,exp v5s,v5,2,to commit vice to do evil,1906090
不宣,ふせん,exp,,2,"I'll write again soon (closure for a letter, etc.) more anon sincerely yours yours truly",1493570
不尽,ふじん,exp,,3,"I'll write again soon (closure for a letter, etc.) more anon sincerely yours yours truly",1493230
不幸中の幸い,ふこうちゅうのさいわい,exp,,2,small mercy (from some misfortune) silver lining of a dark cloud consolation in sadness blessing in disguise,2186550
不徳の致すところ,ふとくのいたすところ,exp,,1,(with an apologetic tone) undesirable state brought about by (my) lack of virtue feeling morally responsible mea culpa,2217520
不快な思いをさせる,ふかいなおもいをさせる,exp v1,v1,1,to offend someone to give offence to hurt someone's feelings,2803220
不思議なくらい,ふしぎなくらい,exp,,2,curiously curiously enough oddly enough to the point of being mysterious to the extent of being strange,2599630
不思議なほど,ふしぎなほど,exp,,2,wondrous marvellous uncanny like a charm,2599990
不思議な縁,ふしぎなえん,exp n,,1,quirk of fate curious coincidence happy chance,1905980
不意をつく,ふいをつく,exp v5k,v5,2,to take by surprise,2188660
不意を討つ,ふいをうつ,exp v5t,v5,1,to take (a person) unawares to make a surprise attack,1905430
不慮の外,ふりょのほか,exp,,1,totally unexpected completely unforeseen,2126790
不易流行,ふえきりゅうこう,exp yoji,,1,"the principle of fluidity and immutability in haiku Haiku is both ""fluid and transitory"" and ""eternal and immutable."" An interchange between the transient and the immutable is central to the soul of haiku. (Basho)",2052750
不朽の名作,ふきゅうのめいさく,exp n,,3,immortal work,1491940
不正の臭い,ふせいのにおい,exp n,,1,smack of evil,1906060
不正を矯める,ふせいをためる,exp v1,v1,1,to redress injustice,1906070
不気味の谷,ぶきみのたに,exp,,1,uncanny valley (hypothesis about humanoid robots),2432470
不注意による,ふちゅういによる,exp adj-f v5r,v5,1,caused by carelessness,1906160
不発に終わる,ふはつにおわる,exp v5r,v5,3,to misfire to come to naught to end in failure to fizzle out to fall flat,2821610
不立文字,ふりゅうもんじ,exp yoji,,3,Buddhist revelation through intuitive discernment Spiritual awakening cannot be experienced with words and letters Spiritual enlightenment can be attained only by means of communion of mind with mind (Zen Buddhism),2040770
不肖わたくし,ふしょうわたくし,exp pn hum,,1,me I,1492950
不興を買う,ふきょうをかう,exp v5u,v5,2,to fall into disgrace with to incur someone's displeasure,2119040
不覚を取る,ふかくをとる,exp v5r,v5,3,to suffer an embarrassing defeat,1905610
不足を補う,ふそくをおぎなう,exp v5u,v5,3,to make up a shortfall to cover a shortage to compensate for a shortage to fill a gap,1906110
不足を言う,ふそくをいう,exp v5u,v5,2,to complain to express one's dissatisfaction,2751020
不遇を託つ,ふぐうをかこつ,exp v5t,v5,1,to repine at one's hard lot,1905850
丑の時参り,うしのときまいり,exp n,,2,"cursing ritual where one visits a shrine at 2 in the morning and nails a doll representing a person to a tree, praying for said person's death",2797220
世が世なら,よがよなら,exp,,2,if times were better if times had not changed,2118510
世に埋もれる,よにうずもれる,exp v1,v1,3,to live in obscurity,2007380
世に立つ,よにたつ,exp v5t,v5,1,to begin life (as an adult) to step out into the world,1373830
世に説く,よにとく,exp v5k,v5,1,to set forth to put forward to present for consideration to explain the facts of life to preach,2194100
世に遅れる,よにおくれる,exp v1,v1,1,to fall behind the times,1915070
世の中,よのなか,exp n,,718,society the world the times,1373850
世の常,よのつね,adj-no exp n,,4,ordinary run-of-the-mill usual,1373840
世の習い,よのならい,exp,,2,the way of the world common occurrence,2201810
世の風潮,よのふうちょう,exp,,1,current of the times,2057210
世も末,よもすえ,exp,,2,the end of the world the world is beyond saving there's no hope for the future this degenerate age,2792710
世を渡る,よをわたる,exp v5r id,v5,2,to make one's way in the world to earn one's living to live,2130890
世事に疎い,せじにうとい,exp adj-i,adj-i,3,inexperienced unrealistic knowing but little of the world,1374050
世帯を張る,しょたいをはる,exp v5r obsc,v5,1,to keep house to set up house,1883360
世故に長ける,せこにたける,exp v1,v1,2,to know much of the world,2582700
世界で初めて,せかいではじめて,exp adj-no,,2,world's first world-first,2532620
世界の七不思議,せかいのななふしぎ,exp,,2,Seven Wonders of the World,2201120
世界の果て,せかいのはて,exp,,3,end of the world,1639300
世界全体,せかいぜんたい,exp,,2,entire world whole world world stage,2553820
世界公民,せかいこうみん,exp,,3,citizen of the world world citizen,2533620
世話がない,せわがない,exp adj-i,adj-i,5,simple (e.g. matter) problem free,2165280
世話が焼ける,せわがやける,exp v1,v1,3,to be troublesome to require the aid and labour of others,1980530
世話になる,せわになる,exp v5r,v5,7,to receive favor (favour) to be much obliged to someone to be indebted,1374310
世話の掛かる,せわのかかる,exp v5r,v5,1,to be annoying to be troublesome to be a burden,2768130
世話の焼ける,せわのやける,exp v1,v1,3,to be annoying to be troublesome,1888640
世話をする,せわをする,exp vs-i,vs,3,to take care of,2253800
世話を焼く,せわをやく,exp v5k,v5,4,to bother to meddle to poke one's nose (into another's business) to be too helpful,1374320
世間の口,せけんのくち,exp n,,1,what people say gossip rumours rumors,2752090
世間の口に戸は立てられぬ,せけんのくちにとはたてられぬ,exp id,,1,People will talk,2418490
世間の目,せけんのめ,exp n,,2,spotlight public eye public's attention goldfish bowl,2667100
世間は広い様で狭い,せけんはひろいようでせまい,exp id,,1,It's a small world after all,2418500
世間一般,せけんいっぱん,exp,,3,the world in general society convention,2531900
世間一般の通念,せけんいっぱんのつうねん,exp,,2,conventional wisdom,2531910
両天秤に掛ける,りょうてんびんにかける,exp v1,v1,3,to try to have it both ways to try to sit on two stools,2130925
両天秤を掛ける,りょうてんびんをかける,exp v1,v1,3,to try to have it both ways to try to sit on two stools,2130920
両手に花,りょうてにはな,exp id,,6,two blessings at once flanked by two beautiful women,1553670
両雄並び立たず,りょうゆうならびたたず,exp id,,2,"if two ride upon a horse, one must sit behind when Greek meets Greek, then comes the tug of war two great rivals cannot coexist",2420090
並べて見ると,ならべてみると,exp,,3,in comparison,1899430
並べ替える,ならべかえる,exp v1,v1,2,to rearrange to reorder to move around to sort to collate,2388000
並外れて,なみはずれて,exp,,4,uncommonly extraordinary,1899360
中でも,なかでも,exp adv,,604,among (other things) especially particularly inter alia above all (else),2009290
中にも,なかにも,exp adv,,602,among (other things) especially particularly inter alia above all (else),2825920
中の人,なかのひと,exp n,,1,insider,2718390
中の兄,なかのあに,exp n,,1,middle brother,1898800
中へ中へ,なかへなかへ,exp,,1,(to be pushed) toward the middle (of a crowd) (usually against your will),2098540
中へ入る,なかへはいる,exp v5r,v5,2,to go (come) inside to step into to enter,1898770
中を取る,なかをとる,exp v5r,v5,3,to work out a compromise,1423330
中心とする,ちゅうしんとする,exp vs-i,vs,2,to play a leading role to play a central part,1424560
中心となる,ちゅうしんとなる,exp v5r,v5,2,to play a central role to take a leading part,2027880
中途半端でない,ちゅうとはんぱでない,exp adj-i,adj-i,1,whole complete,2747030
丸くおさまる,まるくおさまる,exp v5r,v5,1,to settle peacefully to work out peacefully to come to an amicable solution to become reconciled,1909770
丸くなって,まるくなって,exp,,1,in a circle (ring),1909780
丸くなる,まるくなる,exp v5r,v5,6,to mellow (e.g. personality),2684070
丸のまま,まるのまま,exp uk,,2,in its entirety whole,1909820
丸を付ける,まるをつける,exp v1,v1,1,to mark a correct answer with a circle,1909850
丸味を帯びた,まるみをおびた,exp adj-f,,1,roundish sort of round,2833413
丸裸にする,まるはだかにする,exp vs-i,vs,1,to strip a person of all his or her clothes,2059260
丸裸になる,まるはだかになる,exp v5r,v5,3,to be stripped of all one's clothes to lose everything one has,1216780
丹精を込める,たんせいをこめる,exp v1,v1,2,to take pains (doing something) to take great care,2826932
主として,しゅとして,exp adv,,708,mainly chiefly primarily for the most part,1324980
主とする,しゅとする,exp,,3,mostly involve principally involve,2703250
主を取る,しゅをとる,exp v5r arch,v5,-99,to find a new master,2427520
主人に仕える,しゅじんにつかえる,exp v1,v1,2,to serve a master to serve one's employer faithfully,2573860
主原料,しゅげんりょう,exp,,1,principal raw material main raw material,2444730
主導権を握る,しゅどうけんをにぎる,exp v5r,v5,2,to seize the initiative,1326000
主役から下ろす,しゅやくからおろす,exp v5s obsc,v5,1,to relieve someone of the leading role,1882240
主眼をおく,しゅがんをおく,exp v5k,v5,1,to think of as the main point,2241740
乃公出でずんば,だいこういでずんば,exp,,2,what will happen to everyone else if I am not the one who goes? (expression of confidence from someone going out into the world),2832623
久濶を叙す,きゅうかつをじょす,exp arch,,-99,to apologize for a long neglect of friends (apologise),1227420
久闊を叙する,きゅうかつをじょする,exp vs-s,vs,3,to apologize for a long neglect of friends (apologise),2572460
之繞を掛ける,しんにゅうをかける,exp v1 id,v1,2,to exaggerate,2435370
乗りいい,のりいい,exp adj-ix,,3,easy to ride riding well,2827384
乗りかかった船,のりかかったふね,exp,,3,already embarked (and hence cannot go back) already started,2641270
乗りがわるい,のりがわるい,exp adj-i,adj-i,1,not be easily influenced into joining some mood or activity,2238230
乗客を乗せる,じょうきゃくをのせる,exp v1,v1,1,to take passengers on board,1885890
乗客を降ろす,じょうきゃくをおろす,exp v5s,v5,1,to discharge passengers,1885880
乙,おつ,exp abbr sl,,622,thank you good job goodbye goodnight,1182940
乙に澄ます,おつにすます,exp v5s,v5,2,to affect a serene mood affect a serious demeanor to act prudishly to assume an air of superiority,1862640
九仞の功を一簣に虧く,きゅうじんのこうをいっきにかく,exp v5k id,v5,2,to fail one step short of great success to fall at the last hurdle,2081930
九回の腸,きゅうかいのちょう,exp n,,1,having one's guts twisted in anguish deep grief heartbroken thoughts,2793300
九死に一生,きゅうしにいっしょう,exp n,,1,narrow escape from death,1243690
九死に一生を得る,きゅうしにいっしょうをうる,exp,,3,to have a narrow escape from death,1869830
九浅一深,きゅうせんいっしん,exp,,1,"nine shallow, one deep (ancient Chinese sexual technique)",2438710
乞食を三日すれば止められぬ,こじきをみっかすればやめられぬ,exp proverb,,1,"Once a beggar, always a beggar once you have been begging for three days, you cannot stop",2417320
乱を起こす,らんをおこす,exp v5s,v5,2,to rise in rebellion,1915470
乱勝,みだれかち,exp,,1,undone victory upset victory lost victory,2401520
乳母日傘,おんばひがさ,exp yoji,,4,"(bringing up a child) with greatest care pampering (him, her) with material comforts of a rich family (being brought up) in a hothouse atmosphere",2032170
亀毛兎角,きもうとかく,exp Buddh obsc,,3,fur on turtles and horns on rabbits (used as a metaphor for things that do not exist),2179240
予てから,かねてから,exp uk,,3,for some time for quite a while,2007680
予てより,かねてより,exp uk,,2,previously already beforehand in advance for some time,2833448
予定から外す,よていからはずす,exp v5s,v5,1,to exclude from the schedule,1915040
予定を変える,よていをかえる,exp v1,v1,1,to change the schedule to change one's plans,1915050
予想に反して,よそうにはんして,exp adv,,2,contrary to one's expectations,2831040
予想通り,よそうどおり,exp,,3,as expected predictably not surprisingly,1543180
予期せぬ,よきせぬ,exp,,603,unexpected unforeseen,2218830
予測が付く,よそくがつく,exp v5k,v5,1,to estimate to make a prediction,2791290
予算を削る,よさんをけずる,exp v5r,v5,2,to curtail a budget,1915010
予約を取る,よやくをとる,exp v5r,v5,1,to make an appointment to make a reservation,2100790
予防線を張る,よぼうせんをはる,exp v5r,v5,2,to take precautions to set a guard against attack,2826563
争うべからざる,あらそうべからざる,exp adj-pn,,2,indisputable,2575630
争われない,あらそわれない,exp adj-i,adj-i,5,indisputable undeniable unmistakable,1400640
事あるごとに,ことあるごとに,exp adv,,2,at every opportunity for each and every thing that crops up with every little thing whenever possible whenever the chance arises at every turn,2202240
事あれかし,ことあれかし,exp,,3,"any time now (waiting, hoping for something to happen)",2564770
事がある,ことがある,exp v5r-i uk,v5,603,(something) has occurred to have done (something) such a thing happened,1004540
事がない,ことがない,exp adj-i uk,adj-i,603,(something) has never occurred to have never done (something) such a thing has not happened,2585220
事こそ,ことこそ,exp uk,,1,this for sure certainly is,2397200
事とする,こととする,exp vs-i,vs,4,to devote oneself to do one thing exclusively to make a job of,2537620
事と成る,こととなる,exp v5r uk,v5,2,it has been decided (so) that it has been arranged (so) that,2585240
事と次第で,こととしだいで,exp,,1,if things permit under certain circumstances,1876990
事なかれ主義,ことなかれしゅぎ,exp n,,4,(principle of) letting sleeping dogs lie peace-at-any-price don't rock the boat,1593340
事なきを得る,ことなきをえる,exp v1,v1,4,to survive without problems to manage to avoid further problems,2125010
事にする,ことにする,exp vs-i uk,vs,604,to decide to,2215340
事にすると,ことにすると,exp uk,,1,perhaps maybe possibly,1004580
事になりかねない,ことになりかねない,exp uk,,1,it could turn out badly it might have unfortunate consequences,2802780
事になる,ことになる,exp v5r uk,v5,605,it has been decided (so) that it has been arranged (so) that,1004590
事によって,ことによって,exp uk,,602,via through by doing by means of using,1004600
事により,ことにより,exp uk,,601,by (means of) by doing due to via through,2266130
事による,ことによる,exp v5r uk,v5,604,depending on the circumstances,1313590
事によると,ことによると,exp uk,,2,possibly maybe perhaps,2773660
事のついで,ことのついで,exp uk,,2,take the opportunity to (do something else),2179490
事の次第,ことのしだい,exp n,,1,circumstances,2827961
事の起こり,ことのおこり,exp n,,2,how it came about how it originated how it happened the origins of the imbroglio,2690630
事はない,ことはない,exp adj-i uk,adj-i,3,there is no need to ...,2585230
事もあろうに,こともあろうに,exp uk,,3,"of all things (days, etc.)",2274730
事を構える,ことをかまえる,exp v1,v1,2,to take an aggressive position to stir up trouble,2125050
事を起こす,ことをおこす,exp v5s,v5,2,to cause trouble to cause a disturbance,1877100
事を運ぶ,ことをはこぶ,exp v5b,v5,3,to go ahead to proceed to carry on,1877120
